Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000009,Mid Ulster,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,280
N09000009,Mid Ulster,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,163
N09000009,Mid Ulster,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,377
N09000009,Mid Ulster,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,80
N09000009,Mid Ulster,3,Prefer not to say/Not stated,5,Cannot speak Irish,9323
N09000009,Mid Ulster,3,Prefer not to say/Not stated,-8,No code required,0
N09000009,Mid Ulster,-8,No code required,1,Can speak Irish: Speaks Irish daily,1908
N09000009,Mid Ulster,-8,No code required,2,Can speak Irish: Speaks Irish weekly,1189
N09000009,Mid Ulster,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,674
N09000009,Mid Ulster,-8,No code required,4,Can speak Irish: Never speaks Irish,81
N09000009,Mid Ulster,-8,No code required,5,Cannot speak Irish,24526
N09000009,Mid Ulster,-8,No code required,-8,No code required,6255
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,3231
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2407
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,5746
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1067
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,5,Cannot speak Irish,115932
N09000010,"Newry, Mourne and Down",1,Straight or heterosexual,-8,No code required,0
N09000010,"Newry, Mourne and Down",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,94
